district,area,year,rooms,value,floor,elevator,parking,warehouse
 دریاچه شهدای خلیج فارس ,118,1401,2,7080000000,9,True,True,True
 کوی فردوس ,85,1400,2,6700000000,3,True,True,True
 آجودانیه ,130,1399,2,160000000000,4,True,True,True
 جنت‌آباد مرکزی ,93,1388,2,6480000000,3,True,True,True
 ولنجک ,240,1401,3,30000000000,2,True,True,True
 سازمان برنامه ,114,1401,2,9100000000,6,True,True,True
 دانشگاه تهران ,65,1401,2,4225000000,1,True,True,True
 دریاچه شهدای خلیج فارس ,110,1401,2,1815000000,15,True,True,True
 الهیه ,345,1399,4,85000000000,12,True,True,True
 کامرانیه ,310,1389,3,36000000000,8,True,True,True
 شهران شمالی ,94,1393,2,6500000000,5,True,True,True
 پونک ,116,1387,2,8700000000,4,True,True,True
 پاتریس لومومبا ,175,1401,3,12300000000,1,True,True,True
 دریاچه شهدای خلیج فارس ,50,1400,4,800000000,29,True,True,True
 هروی ,137,1399,3,13000000000,2,True,True,True
 اندیشه (شهر زیبا) ,57,1393,1,1600000000,3,False,True,True
 دزاشیب ,105,1395,2,9350000000,3,True,True,True
 کوی فردوس ,78,1401,2,5250000000,3,True,True,True
 یوسف‌آباد ,110,1391,3,8800000000,2,True,True,True
 کوی فردوس ,60,1399,1,4350000000,4,True,True,True
 چیتگر ,110,1401,2,1250000000,12,True,True,True
 کوی فردوس ,50,1385,1,3550000000,3,True,True,True
 کوی فردوس ,58,1387,1,3750000000,2,True,True,True
 مرزداران ,135,1389,3,12800000000,1,True,True,True
 پونک ,54,1400,1,4929000000,1,True,True,True
 سازمان برنامه ,150,1383,3,9990000000,5,True,True,True
 جی ,60,1401,1,2260000000,1,True,False,False
 شهرک غرب ,180,1381,4,15500000000,4,True,True,True
 ولنجک ,150,1399,3,18000000000,3,True,True,True
 محمودیه,284,1382,3,35800000000,6,True,True,True
 سعادت‌آباد ,240,1386,4,24000000000,5,True,True,True
 سعادت‌آباد ,110,1400,2,16500000000,4,True,True,True
 جیحون ,69,1401,2,3250000000,1,True,True,True
 فرمانیه ,190,1400,3,36500000000,6,True,True,True
 جیحون ,42,1396,1,2000000000,1,True,False,False
 قیطریه ,130,1391,3,12760000000,2,True,True,True
 الهیه ,185,1391,3,32000000000,3,True,True,True
 زعفرانیه ,173,1397,3,29410000000,3,True,True,True
 جی ,62,1392,1,2450000000,3,True,True,True
 یوسف‌آباد ,125,1385,3,9100000000,2,True,True,True
 یوسف‌آباد ,56,1390,1,5400000000,2,True,True,True
 یوسف‌آباد ,100,1382,2,7600000000,2,True,True,True
