build_year,neighbour_hood,area,floor,rooms,Parking,Elevator,Warehouse,Luxury_features,price,mean,std,median,amin,amax,neighbour_hood_encoded
1401,رستمآبادواختیاریه,140,1.0,3,0,0,0,0,125000000,84724602.81395349,18813639.868755408,84931506.0,45700000.0,125000000.0,17
1382,بلوارفردوس,72,3.0,2,0,0,0,1,44444444,59341145.36082474,11226516.262274269,59859154.0,19285714.0,120000000.0,12
1400,سهروردیشمالی,140,2.0,2,1,1,1,0,80000000,81612742.53731343,17450377.914115496,80000000.0,13800000.0,148000000.0,17
1386,امیرآباد,113,2.0,2,1,1,1,0,65500000,80210100.99672131,12461139.369398655,80000000.0,38235000.0,115000000.0,16
1401,بهار,90,2.0,2,1,1,1,1,65000000,55464285.71428572,8564838.295406109,57350000.0,33100000.0,67000000.0,11
1389,سیمونبولیوارپونک,68,4.0,2,1,1,1,0,64700000,53325490.196078435,10321527.854678392,55000000.0,29400000.0,70600000.0,11
1386,یاسرنیاوران,140,2.0,3,1,1,1,0,100000000,108633333.33333333,14953371.972011307,100000000.0,100000000.0,125900000.0,19
1397,الهیه,212,3.0,3,1,1,1,1,105000000,119528884.63380282,33129543.164495844,115000000.0,16500000.0,204500000.0,20
1400,یوسفآباد,83,1.0,2,1,1,1,0,95000000,84176880.76646706,16991737.331853233,82853703.5,48969072.0,153846000.0,17
1391,سعادتآباد,66,1.0,2,0,0,0,1,125757575,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1383,جنتآبادجنوبی,90,1.0,2,1,0,1,0,51700000,60135130.005347595,13104643.369948454,60888000.0,843220.0,91666666.0,13
1385,شهرکشهیدباقری,72,5.0,1,0,0,0,0,40972222,36638952.00847457,15181438.089807704,38840335.5,3600000.0,128125000.0,5
1384,باغفیض,100,1.0,2,1,1,1,0,56500000,58092784.5,10742418.088335035,57875939.0,8108000.0,82000000.0,12
1380,شهرکغرب,170,4.0,3,1,1,1,0,47100000,85593560.17830609,26465865.635044355,80800000.0,7500000.0,200000000.0,17
1383,امیرآباد,125,4.0,3,1,1,1,0,65000000,80210100.99672131,12461139.369398655,80000000.0,38235000.0,115000000.0,16
1389,لویزانوشیان,90,1.0,2,0,0,0,0,57777777,68044954.64035088,15703473.156897321,70277748.5,10066666.0,115748031.0,14
1385,کویبیمه,85,2.0,2,0,0,0,0,50823529,55842728.294117644,7880059.931665152,55882352.0,39113924.0,72916666.0,11
1394,یوسفآباد,125,4.0,2,1,1,1,0,73600000,84176880.76646706,16991737.331853233,82853703.5,48969072.0,153846000.0,17
1385,اقدسیه,222,6.0,3,1,1,1,0,85000000,97832873.77894737,33459961.732989248,86813186.0,13500000.0,200000000.0,19
1398,شهرک,111,7.0,2,0,0,0,0,120720720,106405528.20224719,28797479.137912795,99629629.0,51818181.0,184615384.0,19
1401,شهرکژاندارمریمرزداران,98,5.0,2,1,1,1,0,122400000,93305714.28571428,14039208.601315835,90900000.0,72600000.0,122400000.0,18
1377,فاطمی,65,3.0,2,0,0,0,0,46000000,65088203.4537037,14757932.947273208,65342909.5,29333333.0,130000000.0,14
1387,میرداماد,150,5.0,3,0,0,0,0,70000000,90386641.37769784,22519072.703439962,84600000.0,50800000.0,157143000.0,18
1401,دهکدهالمپیک,110,10.0,2,1,1,1,1,12818000,32252708.540447503,12514798.760472782,31000000.0,1000000.0,112909000.0,4
